	chao1
ERR10492989.assembled	400.9148936170213
ERR10492990.assembled	666.5
ERR10492991.assembled	335.5
ERR10492992.assembled	219.83333333333334
ERR10492994.assembled	282.5
ERR10492995.assembled	269.625
ERR10492996.assembled	284.1304347826087
ERR10492997.assembled	310.0
ERR10492998.assembled	395.21276595744683
ERR10493000.assembled	195.25
ERR10493001.assembled	140.9090909090909
ERR10493002.assembled	143.23529411764707
ERR10493003.assembled	203.0
ERR10493004.assembled	242.5
ERR10493005.assembled	220.0
ERR10493006.assembled	209.33333333333334
ERR10493007.assembled	166.07692307692307
ERR10493008.assembled	390.0
ERR10493009.assembled	295.0810810810811
ERR10493010.assembled	252.5
ERR10493011.assembled	258.19354838709677
ERR10493014.assembled	111.0
ERR10493016.assembled	146.1818181818182
ERR10493017.assembled	102.3
ERR10493018.assembled	285.09090909090907
ERR10493019.assembled	126.61904761904762
ERR10493020.assembled	333.5625
ERR10493021.assembled	341.28125
ERR10493022.assembled	287.2068965517241
ERR10493023.assembled	337.05882352941177
ERR10493024.assembled	271.52941176470586
ERR10493025.assembled	340.52
ERR10493026.assembled	455.9090909090909
ERR10493027.assembled	283.0857142857143
ERR10493028.assembled	432.02173913043475
ERR10493029.assembled	363.38461538461536
ERR10493031.assembled	306.4761904761905
ERR10493032.assembled	284.45652173913044
ERR10493033.assembled	412.63265306122446
ERR10493034.assembled	388.1224489795918
ERR10493035.assembled	328.3658536585366
ERR10493036.assembled	328.73809523809524
ERR10493037.assembled	308.2368421052632
ERR10493039.assembled	137.0
ERR10493040.assembled	160.57142857142858
ERR10493041.assembled	144.5
ERR10493042.assembled	258.9166666666667
ERR10493043.assembled	235.6153846153846
ERR10493044.assembled	317.55
ERR10493046.assembled	270.11764705882354
ERR10493047.assembled	318.7083333333333
ERR10493049.assembled	239.5
ERR10493050.assembled	223.76923076923077
ERR10493051.assembled	227.0
ERR10493052.assembled	224.64705882352942
ERR10493054.assembled	273.1578947368421
ERR10493056.assembled	176.4375
ERR10493057.assembled	149.0
ERR10493058.assembled	234.6153846153846
ERR10493059.assembled	168.5263157894737
ERR10493060.assembled	405.6341463414634
ERR10493061.assembled	203.13793103448276
ERR10493062.assembled	139.27272727272728
ERR10493063.assembled	233.8125
ERR10493064.assembled	262.4347826086956
ERR10493065.assembled	333.19354838709677
ERR10493066.assembled	279.04347826086956
ERR10493067.assembled	218.0
ERR10493068.assembled	169.95454545454547
ERR10493069.assembled	131.5
ERR10493071.assembled	330.75757575757575
ERR10493072.assembled	297.6
ERR10493073.assembled	194.5
ERR10493074.assembled	177.0
ERR10493075.assembled	444.88235294117646
ERR10493076.assembled	129.0
ERR10493077.assembled	435.5576923076923
ERR10493078.assembled	288.13513513513516
ERR10493079.assembled	257.7567567567568
ERR10493080.assembled	254.8695652173913
ERR10493081.assembled	254.5263157894737
ERR10493082.assembled	248.22222222222223
ERR10493083.assembled	159.6153846153846
ERR10493084.assembled	200.42857142857142
ERR10493085.assembled	175.9375
ERR10493086.assembled	233.5
ERR10493087.assembled	461.22641509433964
ERR10493088.assembled	436.6222222222222
ERR10493091.assembled	206.10526315789474
ERR10493092.assembled	217.54545454545453
ERR10493093.assembled	145.9090909090909
ERR10493094.assembled	183.4375
ERR10493095.assembled	313.95652173913044
ERR10493096.assembled	271.3333333333333
ERR10493097.assembled	304.125
ERR10493098.assembled	239.5
ERR10493099.assembled	341.1379310344828
ERR10493100.assembled	389.2631578947368
ERR10493101.assembled	200.15
ERR10493102.assembled	86.4
ERR10493103.assembled	332.35714285714283
ERR10493104.assembled	141.0
ERR10493105.assembled	177.5
ERR10493106.assembled	191.35294117647058
ERR10493108.assembled	369.609756097561
ERR10493109.assembled	393.67857142857144
ERR10493110.assembled	214.23529411764707
ERR10493111.assembled	229.11764705882354
ERR10493114.assembled	219.84375
ERR10493115.assembled	100.75
ERR10493116.assembled	350.89473684210526
ERR10493117.assembled	458.8571428571429
ERR10493118.assembled	317.44
ERR10493119.assembled	381.219512195122
ERR10493120.assembled	338.36842105263156
ERR10493121.assembled	188.0909090909091
ERR10493122.assembled	208.9375
ERR10493123.assembled	219.0
ERR10493124.assembled	338.40625
ERR10493125.assembled	297.4864864864865
ERR10493127.assembled	255.03703703703704
ERR10493128.assembled	323.4864864864865
ERR10493130.assembled	238.54545454545453
ERR10493131.assembled	279.2758620689655
ERR10493132.assembled	275.0
ERR10493133.assembled	290.0
ERR10493134.assembled	194.0
ERR10493136.assembled	173.0
ERR10493138.assembled	398.0
ERR10493139.assembled	450.88235294117646
ERR10493140.assembled	264.6363636363636
ERR10493141.assembled	254.45454545454544
ERR10493142.assembled	174.71428571428572
ERR10493143.assembled	141.8
ERR10493144.assembled	210.2173913043478
ERR10493145.assembled	190.3913043478261
ERR10493147.assembled	377.6756756756757
ERR10493148.assembled	365.55555555555554
ERR10493149.assembled	214.28571428571428
ERR10493150.assembled	188.2
ERR10493151.assembled	307.0
ERR10493152.assembled	263.04347826086956
ERR10493154.assembled	318.7307692307692
ERR10493155.assembled	319.77272727272725
ERR10493156.assembled	282.375
ERR10493157.assembled	333.75
ERR10493158.assembled	290.61538461538464
ERR10493160.assembled	285.84
ERR10493161.assembled	445.77777777777777
ERR10493162.assembled	333.2
ERR10493163.assembled	414.0833333333333
ERR10493165.assembled	419.1818181818182
ERR10493166.assembled	322.7857142857143
ERR10493167.assembled	268.7307692307692
ERR10493168.assembled	346.6666666666667
ERR10493169.assembled	181.0
ERR10493170.assembled	203.78947368421052
ERR10493172.assembled	199.75
ERR10493173.assembled	221.66666666666666
ERR10493174.assembled	268.6
ERR10493177.assembled	267.7142857142857
ERR10493178.assembled	309.5
ERR10493180.assembled	117.0
