run_accession	sample_accession	experiment_accession	study_accession	scientific_name	fastq_ftp	sample_alias
ERR10493001	SAMEA112135503	ERX10011290	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR10493001/ERR10493001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR10493001/ERR10493001_2.fastq.gz	long_indv243_tumor
ERR10493002	SAMEA112135512	ERX10011291	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR10493002/ERR10493002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR10493002/ERR10493002_2.fastq.gz	long_indv254_normal
ERR10493003	SAMEA112135511	ERX10011292	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR10493003/ERR10493003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR10493003/ERR10493003_2.fastq.gz	long_indv254_tumor
ERR10493004	SAMEA112135516	ERX10011294	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR10493004/ERR10493004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR10493004/ERR10493004_2.fastq.gz	long_indv257_normal
ERR10493006	SAMEA112135526	ERX10011296	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR10493006/ERR10493006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR10493006/ERR10493006_2.fastq.gz	long_indv269_normal
ERR10493011	SAMEA112135531	ERX10011301	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/011/ERR10493011/ERR10493011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/011/ERR10493011/ERR10493011_2.fastq.gz	long_indv275_tumor
ERR10493014	SAMEA112135535	ERX10011304	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/014/ERR10493014/ERR10493014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/014/ERR10493014/ERR10493014_2.fastq.gz	long_indv281_tumor
ERR10493016	SAMEA112135542	ERX10011306	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/016/ERR10493016/ERR10493016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/016/ERR10493016/ERR10493016_2.fastq.gz	long_indv290_normal
ERR10493020	SAMEA112135548	ERX10011310	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/020/ERR10493020/ERR10493020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/020/ERR10493020/ERR10493020_2.fastq.gz	long_indv297_normal
ERR10493024	SAMEA112135556	ERX10011314	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/024/ERR10493024/ERR10493024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/024/ERR10493024/ERR10493024_2.fastq.gz	long_indv309_normal
ERR10493026	SAMEA112135558	ERX10011316	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/026/ERR10493026/ERR10493026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/026/ERR10493026/ERR10493026_2.fastq.gz	long_indv310_normal
