	ERR10492989.assembled	ERR10492990.assembled	ERR10492991.assembled	ERR10492992.assembled	ERR10492994.assembled	ERR10492995.assembled	ERR10492996.assembled	ERR10492997.assembled	ERR10492998.assembled	ERR10493000.assembled	ERR10493001.assembled	ERR10493002.assembled	ERR10493003.assembled	ERR10493004.assembled	ERR10493005.assembled	ERR10493006.assembled	ERR10493007.assembled	ERR10493008.assembled	ERR10493009.assembled	ERR10493010.assembled	ERR10493011.assembled	ERR10493014.assembled	ERR10493016.assembled	ERR10493017.assembled	ERR10493018.assembled	ERR10493019.assembled	ERR10493020.assembled	ERR10493021.assembled	ERR10493022.assembled	ERR10493023.assembled	ERR10493024.assembled	ERR10493025.assembled	ERR10493026.assembled	ERR10493027.assembled	ERR10493028.assembled	ERR10493029.assembled	ERR10493031.assembled	ERR10493032.assembled	ERR10493033.assembled	ERR10493034.assembled	ERR10493035.assembled	ERR10493036.assembled	ERR10493037.assembled	ERR10493039.assembled	ERR10493040.assembled	ERR10493041.assembled	ERR10493042.assembled	ERR10493043.assembled	ERR10493044.assembled	ERR10493046.assembled	ERR10493047.assembled	ERR10493049.assembled	ERR10493050.assembled	ERR10493051.assembled	ERR10493052.assembled	ERR10493054.assembled	ERR10493056.assembled	ERR10493057.assembled	ERR10493058.assembled	ERR10493059.assembled	ERR10493060.assembled	ERR10493061.assembled	ERR10493062.assembled	ERR10493063.assembled	ERR10493064.assembled	ERR10493065.assembled	ERR10493066.assembled	ERR10493067.assembled	ERR10493068.assembled	ERR10493069.assembled	ERR10493071.assembled	ERR10493072.assembled	ERR10493073.assembled	ERR10493074.assembled	ERR10493075.assembled	ERR10493076.assembled	ERR10493077.assembled	ERR10493078.assembled	ERR10493079.assembled	ERR10493080.assembled	ERR10493081.assembled	ERR10493082.assembled	ERR10493083.assembled	ERR10493084.assembled	ERR10493085.assembled	ERR10493086.assembled	ERR10493087.assembled	ERR10493088.assembled	ERR10493091.assembled	ERR10493092.assembled	ERR10493093.assembled	ERR10493094.assembled	ERR10493095.assembled	ERR10493096.assembled	ERR10493097.assembled	ERR10493098.assembled	ERR10493099.assembled	ERR10493100.assembled	ERR10493101.assembled	ERR10493102.assembled	ERR10493103.assembled	ERR10493104.assembled	ERR10493105.assembled	ERR10493106.assembled	ERR10493108.assembled	ERR10493109.assembled	ERR10493110.assembled	ERR10493111.assembled	ERR10493114.assembled	ERR10493115.assembled	ERR10493116.assembled	ERR10493117.assembled	ERR10493118.assembled	ERR10493119.assembled	ERR10493120.assembled	ERR10493121.assembled	ERR10493122.assembled	ERR10493123.assembled	ERR10493124.assembled	ERR10493125.assembled	ERR10493127.assembled	ERR10493128.assembled	ERR10493130.assembled	ERR10493131.assembled	ERR10493132.assembled	ERR10493133.assembled	ERR10493134.assembled	ERR10493136.assembled	ERR10493138.assembled	ERR10493139.assembled	ERR10493140.assembled	ERR10493141.assembled	ERR10493142.assembled	ERR10493143.assembled	ERR10493144.assembled	ERR10493145.assembled	ERR10493147.assembled	ERR10493148.assembled	ERR10493149.assembled	ERR10493150.assembled	ERR10493151.assembled	ERR10493152.assembled	ERR10493154.assembled	ERR10493155.assembled	ERR10493156.assembled	ERR10493157.assembled	ERR10493158.assembled	ERR10493160.assembled	ERR10493161.assembled	ERR10493162.assembled	ERR10493163.assembled	ERR10493165.assembled	ERR10493166.assembled	ERR10493167.assembled	ERR10493168.assembled	ERR10493169.assembled	ERR10493170.assembled	ERR10493172.assembled	ERR10493173.assembled	ERR10493174.assembled	ERR10493177.assembled	ERR10493178.assembled	ERR10493180.assembled	ERR10493181.assembled	ERR10493183.assembled	ERR10493184.assembled	ERR10493185.assembled	ERR10493186.assembled	ERR10493195.assembled	ERR10493196.assembled	ERR10493197.assembled	ERR10493198.assembled	ERR10493199.assembled	ERR10493200.assembled	ERR10493201.assembled	ERR10493202.assembled	ERR10493203.assembled	ERR10493204.assembled	ERR10493205.assembled	ERR10493206.assembled	ERR10493207.assembled	ERR10493208.assembled	ERR10493209.assembled	ERR10493210.assembled	ERR10493211.assembled
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	144.0	67.0	59.0	20.0	112.0	187.0	319.0	523.0	24.0	78.0	12.0	410.0	366.0	75.0	101.0	9.0	10.0	31.0	9.0	82.0	29.0	38.0	29.0	9.0	94.0	18.0	15.0	11.0	25.0	29.0	10.0	36.0	4.0	3.0	22.0	27.0	421.0	32.0	35.0	0.0	2.0	12.0	8.0	716.0	3.0	0.0	9.0	9.0	37.0	15.0	1.0	0.0	33.0	12.0	226.0	588.0	71.0	184.0	85.0	9.0	201.0	558.0	0.0	2.0	50.0	355.0	1.0	8.0	0.0	0.0	323.0	235.0	23.0	7.0	27.0	37.0	17.0	3.0	322.0	193.0	194.0	324.0	23.0	25.0	44.0	31.0	13.0	13.0	100.0	108.0	18.0	12.0	72.0	45.0	724.0	1159.0	51.0	28.0	56.0	20.0	45.0	6.0	1.0	0.0	4.0	8.0	6.0	5.0	628.0	1149.0	181.0	205.0	47.0	77.0	20.0	54.0	70.0	165.0	353.0	218.0	89.0	71.0	27.0	80.0	707.0	573.0	1287.0	14.0	3.0	1643.0	330.0	2699.0	155.0	171.0	48.0	37.0	4.0	2.0	56.0	50.0	370.0	1284.0	32.0	89.0	6.0	3.0	288.0	67.0	280.0	26.0	27.0	18.0	9.0	0.0	18.0	9.0	6.0	15.0	8.0	14.0	3.0	87.0	15.0	988.0	5.0	5.0	5.0	31.0	2.0	42.0	58.0	6.0	8.0	30.0	38.0	24.0	133.0	72.0	8.0	20.0	37.0	15.0	88.0	460.0	64.0
d__Bacteria;__;__;__;__;__;__	9.0	13.0	3.0	0.0	0.0	0.0	0.0	0.0	23.0	1.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	20.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	53.0	12.0	28.0	7.0	32.0	44.0	41.0	32.0	102.0	15.0	11.0	0.0	3.0	36.0	1.0	3.0	16.0	6.0	0.0	22.0	28.0	1.0	5.0	3.0	43.0	22.0	23.0	4.0	58.0	4.0	9.0	25.0	14.0	2.0	13.0	73.0	32.0	0.0	8.0	2.0	14.0	0.0	0.0	34.0	2.0	26.0	6.0	4.0	59.0	13.0	43.0	13.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	15.0	21.0	30.0	11.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	14.0	2.0	0.0	0.0	0.0	0.0	14.0	5.0	3.0	18.0	0.0	0.0	0.0	10.0	7.0	1.0	1.0	12.0	5.0	0.0	0.0	2.0	13.0	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	2.0	0.0	0.0	0.0	2.0	7.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	8.0	1.0	7.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	10.0	7.0	3.0	12.0	0.0	0.0	20.0	30.0	13.0	0.0	1.0	0.0	0.0	0.0	36.0	28.0	11.0	0.0	3.0	0.0	17.0	0.0	19.0	225.0	0.0	1.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014;s__	0.0	73.0	106.0	0.0	60.0	46.0	127.0	144.0	136.0	0.0	0.0	0.0	4.0	0.0	3.0	3.0	0.0	0.0	1.0	333.0	253.0	16.0	0.0	0.0	2.0	0.0	83.0	93.0	11.0	13.0	107.0	91.0	98.0	40.0	172.0	226.0	42.0	1.0	1.0	114.0	75.0	55.0	58.0	0.0	0.0	0.0	104.0	122.0	60.0	43.0	8.0	4.0	16.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	208.0	52.0	13.0	18.0	1.0	3.0	217.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	52.0	29.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	22.0	560.0	622.0	45.0	43.0	16.0	12.0	355.0	390.0	46.0	51.0	336.0	367.0	2.0	0.0	45.0	61.0	0.0	0.0	357.0	350.0	4.0	6.0	13.0	0.0	1.0	0.0	138.0	150.0	35.0	1.0	156.0	193.0	105.0	17.0	8.0	200.0	19.0	11.0	54.0	46.0	14.0	0.0	124.0	92.0	60.0	5.0	5.0	0.0	101.0	131.0	284.0	316.0	10.0	13.0	44.0	38.0	0.0	0.0	48.0	28.0	56.0	602.0	497.0	283.0	232.0	275.0	301.0	497.0	473.0	26.0	38.0	2.0	38.0	23.0	314.0	330.0	12.0	98.0	237.0	298.0	0.0	0.0	3.0	15.0	17.0	7.0	37.0	22.0	0.0	0.0	631.0	579.0	65.0	113.0	153.0	244.0	473.0	463.0	12.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__	0.0	2.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	99.0	0.0	0.0	0.0	5.0	0.0	201.0	1485.0	19.0	117.0	51.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	165.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	11.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	15.0	25.0	0.0	0.0	0.0	43.0	18.0	876.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	871.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	137.0	1.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned;__;__;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001;s__	3.0	2.0	6.0	0.0	5.0	2.0	8.0	1.0	6.0	0.0	9.0	0.0	0.0	11.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	19.0	8.0	0.0	0.0	8.0	10.0	11.0	11.0	3.0	7.0	5.0	4.0	11.0	9.0	0.0	3.0	3.0	6.0	1.0	6.0	1.0	0.0	0.0	0.0	1.0	9.0	25.0	12.0	7.0	16.0	9.0	12.0	8.0	4.0	0.0	0.0	4.0	5.0	3.0	3.0	2.0	2.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	17.0	44.0	21.0	0.0	20.0	17.0	1.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	7.0	12.0	12.0	11.0	3.0	8.0	0.0	0.0	3.0	7.0	0.0	0.0	5.0	3.0	0.0	3.0	0.0	0.0	8.0	6.0	7.0	7.0	3.0	0.0	11.0	30.0	1.0	0.0	0.0	5.0	4.0	8.0	2.0	1.0	5.0	0.0	11.0	11.0	0.0	0.0	0.0	0.0	0.0	2.0	15.0	12.0	0.0	0.0	3.0	2.0	14.0	5.0	1.0	2.0	2.0	4.0	0.0	6.0	11.0	12.0	5.0	0.0	3.0	0.0	2.0	5.0	0.0	7.0	0.0	0.0	2.0	8.0	5.0	2.0	0.0	0.0	2.0	3.0	1.0	4.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	3.0	0.0	2.0	1.0	1.0	2.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	30.0	18.0	16.0	78.0	88.0	94.0	83.0	52.0	79.0	52.0	32.0	28.0	25.0	70.0	103.0	25.0	57.0	23.0	45.0	15.0	37.0	4.0	57.0	71.0	1.0	0.0	0.0	0.0	4.0	7.0	80.0	102.0	21.0	6.0	27.0	35.0	34.0	51.0	56.0	17.0	6.0	6.0	17.0	16.0	60.0	122.0	10.0	31.0	19.0	4.0	5.0	5.0	0.0	1.0	13.0	9.0	0.0	0.0	0.0	0.0	16.0	6.0	28.0	6.0	84.0	44.0	6.0	9.0	609.0	836.0	0.0	0.0	5.0	2.0	4.0	0.0	2.0	8.0	1.0	7.0	0.0	0.0	0.0	2.0	74.0	72.0	29.0	34.0	76.0	106.0	24.0	27.0	25.0	24.0	30.0	37.0	24.0	13.0	0.0	0.0	46.0	44.0	27.0	11.0	27.0	37.0	20.0	22.0	13.0	2.0	0.0	0.0	16.0	18.0	8.0	0.0	20.0	14.0	29.0	5.0	81.0	53.0	19.0	24.0	12.0	1.0	58.0	25.0	49.0	19.0	35.0	27.0	8.0	0.0	7.0	11.0	35.0	33.0	31.0	20.0	12.0	5.0	16.0	6.0	4.0	12.0	11.0	18.0	13.0	26.0	12.0	11.0	59.0	26.0	20.0	27.0	13.0	8.0	19.0	12.0	9.0	14.0	0.0	8.0	13.0	10.0	6.0	13.0	10.0	51.0	12.0	12.0	19.0	15.0	0.0	0.0	31.0	16.0	26.0	29.0	21.0	42.0	16.0	12.0	42.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	62.0	145.0	39.0	10.0	207.0	215.0	89.0	122.0	349.0	0.0	0.0	0.0	7.0	2.0	26.0	7.0	0.0	0.0	3.0	0.0	1.0	0.0	1347.0	1357.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	539.0	1856.0	0.0	0.0	35.0	0.0	1.0	27.0	71.0	25.0	46.0	4.0	0.0	0.0	19.0	5.0	0.0	0.0	704.0	576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	345.0	113.0	0.0	0.0	10.0	3.0	0.0	6.0	3020.0	3362.0	8.0	17.0	58.0	16.0	158.0	8.0	169.0	1157.0	0.0	0.0	58.0	61.0	0.0	0.0	0.0	1.0	96.0	21.0	0.0	0.0	12.0	6.0	38.0	45.0	0.0	5.0	0.0	0.0	0.0	0.0	29.0	30.0	1736.0	1389.0	0.0	0.0	5.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0	1663.0	1328.0	2.0	14.0	0.0	1.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	2.0	6.0	28.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	49.0	113.0	128.0	10.0	3.0	0.0	2.0	0.0	13.0	26.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	17.0	2.0	0.0	0.0	2.0	0.0	0.0	33.0	0.0	0.0	2874.0	2136.0	12.0	69.0	0.0	0.0	1660.0	1119.0	0.0	14.0	18.0	0.0	298.0	260.0	153.0	508.0	170.0	111.0	43.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	228.0	211.0	167.0	712.0	165.0	183.0	237.0	186.0	131.0	673.0	173.0	15.0	17.0	389.0	313.0	217.0	186.0	249.0	345.0	315.0	419.0	12.0	20.0	22.0	126.0	4.0	53.0	81.0	10.0	1.0	1267.0	1030.0	411.0	157.0	213.0	208.0	58.0	240.0	226.0	198.0	158.0	190.0	273.0	33.0	0.0	0.0	327.0	484.0	113.0	32.0	394.0	72.0	39.0	14.0	98.0	84.0	22.0	4.0	14.0	3.0	125.0	24.0	894.0	146.0	184.0	123.0	57.0	57.0	273.0	279.0	117.0	166.0	40.0	0.0	17.0	11.0	9.0	11.0	63.0	73.0	825.0	637.0	21.0	2.0	333.0	308.0	228.0	272.0	433.0	496.0	30.0	42.0	117.0	157.0	349.0	394.0	222.0	257.0	65.0	65.0	274.0	289.0	15.0	8.0	538.0	541.0	46.0	78.0	60.0	19.0	62.0	101.0	165.0	136.0	25.0	1.0	170.0	112.0	89.0	21.0	174.0	349.0	73.0	127.0	90.0	51.0	292.0	236.0	213.0	208.0	405.0	196.0	44.0	17.0	91.0	121.0	373.0	396.0	304.0	248.0	79.0	74.0	165.0	113.0	89.0	93.0	1.0	147.0	117.0	207.0	111.0	145.0	314.0	225.0	240.0	173.0	88.0	5.0	139.0	148.0	205.0	294.0	9.0	226.0	132.0	143.0	0.0	6.0	1.0	15.0	68.0	56.0	23.0	26.0	0.0	3.0	288.0	218.0	91.0	90.0	92.0	188.0	154.0	113.0	273.0
